ABDownloadManager: 1.10.2
Acode: 1.13.3
Aegis: 0.10.1
AmarokHider: 15.0.5
Arcticons: 15.0.5
Bitwarden: 2026.8.1
BreezyWeather: 6.2.2_freenet
Cherrygram: 12.10.1
ConverterNOW: 4.6.3
CpuInfo: 6.6.2
Cromite: 148.0.7778.168
DeltaIcons: 12.1.1-free
DotGallery: 12.9.2-28fab50e21
DuckDuckGo: 1.1.2
Flip2DND: 1.18.2
Florisboard: 0.5.2
Fossify_Calculator: 30.7
Fossify_Keyboard: 12.10.1
Fossify_MusicPlayer: 0.10.1
Fossify_Notes: 2.0.1
Fossify_VoiceRecorder: 0.7.5-beta
Gramophone: 0.7.5-beta
IceravenBrowser: 5.1.3
ImageToolbox: 5.1.3
Kudu: 2.7.0
LTECleanerFOSS: 5.1.3
LibreCuts: 1.0-beta7
LibreTube: 2.0.1
LocalSend: 1.18.1
Magisk: 2.0.0
MicroG_RE: 3.10.4
MoeList: 1.8.9.1
Momogram: iceraven-2.48.0
Morphe_Manager: 1.4.0
Morphe_MicroG: 7.1.0
Morphe_YTMusic: 9.15.51
Morphe_YouTube: 21.04.223
Nekogram: 1.8.9.1
NopeRemote: 2.3
Omni: 3.4.2
OrganicMaps: 2026.08.27-18-Web
OuterTune: 0.10.1
PhonographPlus: 2.0.0
Pixelplay: 0.7.5-beta
PrismFileExplorer: 30.7
Quantum_Download_Manager: 1.0.3
Sdmaid: 2.19.0
Shizuku: 7.0.3
SimpMusic: 1.7.0
SpotiFLAC: 4.9.5
Symphony: 5.294.1
Termux: 0.118.3
ThunderbirdAndroid: 2.0.4-rc0
VisualCodeSpace: 4.2.0
WeatherMaster: 3.10.4
XedEditor: 3.3.4
Ytdlnis: 1.8.9.1
